(simulator.cpp):  --  INFO: Simulator started. Log file opened.
 (Model.cpp):  --  INFO: Refrigerator :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Refrigerator :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Refrigerator :: Energy use: 0 kWh
 (Model.cpp):  --  INFO: Water Heater :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Water Heater :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Water Heater :: Energy use: 0 kWh
 (Model.cpp):  --  INFO: Dishwasher :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Dishwasher :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Dishwasher :: Energy use: 0 kWh
 (Model.cpp):  --  INFO: Toaster :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Toaster :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Toaster :: Energy use: 0 kWh
 (Model.cpp):  --  INFO: Microwave :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Microwave :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Microwave :: Energy use: 0 kWh
 (Model.cpp):  --  INFO: Oven :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Oven :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Oven :: Energy use: 0 kWh
 (Model.cpp):  --  INFO: Stove :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Stove :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Stove :: Energy use: 0 kWh
 (Model.cpp):  --  INFO: Television :: Instantaneous power use: 0 kW
 (Model.cpp):  --  INFO: Television :: OFF at Day: 0, Time: 00:01
 (Model.cpp):  --  INFO: Television :: Energy use: 0.000166667 kWh
 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:01
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 0.0140 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:02
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 0.0280 kWh

 (Scheduler.cpp):  --  INFO: Scheduler :: Day: 0, Time: 00:03
 (Scheduler.cpp):  --  INFO: Scheduler :: Instantaneous power use: 0.0140 kW
 (Scheduler.cpp):  --  INFO: Scheduler :: Cumulative energy use: 0.0420 kWh

